Comment,Designator,Footprint,LCSC
1k,"R5,R7",R_0402_1005Metric,C11702
TLV73333PDBVR,U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C134139
100n,"C1,C10,C11,C14,C3,C4,C5,C6,C7,C9",C_0402_1005Metric,C1525
15p,"C15,C16",C_0402_1005Metric,C1548
TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12,C165948
RP2040,U1,LQFN-56_L7.0-W7.0-P0.4-EP,C2040
22,"R1,R2",R_0402_1005Metric,C25092
10k,R6,R_0402_1005Metric,C25744
5.1k,"R10,R11",R_0402_1005Metric,C25905
1u,"C12,C13,C2,C8",C_0402_1005Metric,C52923
GT-TC030A-H020-L1N,"SW1,SW2",SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,C843670
Q24FA20H0068700,Y1,CRYSTAL-SMD_4P-L2.5-W2.0-BL,C90603
W25Q128JVSIQTR,U3,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,C97521
MountingHole,H1,MountingHole_3.2mm_M3,
MountingHole,H4,MountingHole_3.2mm_M3,
Conn_01x04_Pin,J2,PinHeader_1x04_P2.54mm_Horizontal,
MountingHole,H3,MountingHole_3.2mm_M3,
Screw_Terminal_01x16,J3,PinSocket_1x16_P2.54mm_Vertical,
Screw_Terminal_01x16,J4,PinSocket_1x16_P2.54mm_Vertical,
Screw_Terminal_01x16,J6,PinSocket_1x16_P2.54mm_Vertical,
Screw_Terminal_01x16,J5,PinSocket_1x16_P2.54mm_Vertical,
MountingHole,H2,MountingHole_3.2mm_M3,
Conn_02x10_Odd_Even,J1,PinSocket_2x10_P2.54mm_Vertical,
